state,county,candidate,party,votes
Florida,Glades County, Write-ins,WRI,10
Florida,Glades County,Howie Hawkins,GRN,4
Florida,Glades County,Gloria La Riva,PSL,1
Florida,Glades County,Don Blankenship,CST,0
Florida,Glades County,Rocky De La Fuente,ALI,0
Florida,Gulf County,Donald Trump,REP,6111
Florida,Gulf County,Joe Biden,DEM,1985
Florida,Gulf County,Jo Jorgensen,LIB,48
Florida,Gulf County, Write-ins,WRI,9
Florida,Gulf County,Don Blankenship,CST,6
Florida,Gulf County,Rocky De La Fuente,ALI,6
Florida,Gulf County,Howie Hawkins,GRN,5
Florida,Gulf County,Gloria La Riva,PSL,0
Florida,Hamilton County,Donald Trump,REP,3811
Florida,Hamilton County,Joe Biden,DEM,1959
Florida,Hamilton County,Jo Jorgensen,LIB,33
Florida,Hamilton County, Write-ins,WRI,11
Florida,Hamilton County,Howie Hawkins,GRN,8
Florida,Hamilton County,Rocky De La Fuente,ALI,6
Florida,Hamilton County,Don Blankenship,CST,2
Florida,Hamilton County,Gloria La Riva,PSL,2
Florida,Hardee County,Donald Trump,REP,6120
Florida,Hardee County,Joe Biden,DEM,2291
Florida,Hardee County,Jo Jorgensen,LIB,40
Florida,Hardee County,Rocky De La Fuente,ALI,10
Florida,Hardee County,Howie Hawkins,GRN,8
Florida,Hardee County,Gloria La Riva,PSL,6
Florida,Hardee County,Don Blankenship,CST,1
Florida,Hendry County,Donald Trump,REP,7898
Florida,Hendry County,Joe Biden,DEM,4925
Florida,Hendry County,Jo Jorgensen,LIB,65
Florida,Hendry County, Write-ins,WRI,17
Florida,Hendry County,Howie Hawkins,GRN,13
Florida,Hendry County,Rocky De La Fuente,ALI,11
Florida,Hendry County,Gloria La Riva,PSL,8
Florida,Hendry County,Don Blankenship,CST,7
Florida,Hernando County,Donald Trump,REP,70321
Florida,Hernando County,Joe Biden,DEM,37446
Florida,Hernando County,Jo Jorgensen,LIB,685
Florida,Hernando County,Don Blankenship,CST,235
Florida,Hernando County, Write-ins,WRI,235
Florida,Hernando County,Howie Hawkins,GRN,148
Florida,Hernando County,Rocky De La Fuente,ALI,62
Florida,Hernando County,Gloria La Riva,PSL,44
Florida,Highlands County,Donald Trump,REP,34787
Florida,Highlands County,Joe Biden,DEM,16861
Florida,Highlands County,Jo Jorgensen,LIB,220
Florida,Highlands County,Howie Hawkins,GRN,53
Florida,Highlands County,Don Blankenship,CST,28
Florida,Highlands County,Rocky De La Fuente,ALI,28
Florida,Highlands County,Gloria La Riva,PSL,23
Florida,Hillsborough County,Joe Biden,DEM,374714
Florida,Hillsborough County,Donald Trump,REP,326158
Florida,Hillsborough County,Jo Jorgensen,LIB,5622
Florida,Hillsborough County, Write-ins,WRI,2063
Florida,Hillsborough County,Howie Hawkins,GRN,1179
Florida,Hillsborough County,Rocky De La Fuente,ALI,570
Florida,Hillsborough County,Gloria La Riva,PSL,528
Florida,Hillsborough County,Don Blankenship,CST,269
Florida,Holmes County,Donald Trump,REP,8074
Florida,Holmes County,Joe Biden,DEM,924
Florida,Holmes County,Jo Jorgensen,LIB,48
Florida,Holmes County, Write-ins,WRI,10
Florida,Holmes County,Howie Hawkins,GRN,9
Florida,Holmes County,Don Blankenship,CST,4
Florida,Holmes County,Rocky De La Fuente,ALI,2
Florida,Holmes County,Gloria La Riva,PSL,1
Florida,Indian River County,Donald Trump,REP,58797
Florida,Indian River County,Joe Biden,DEM,37801
Florida,Indian River County,Jo Jorgensen,LIB,532
Florida,Indian River County, Write-ins,WRI,258
Florida,Indian River County,Howie Hawkins,GRN,117
Florida,Indian River County,Rocky De La Fuente,ALI,43
Florida,Indian River County,Don Blankenship,CST,38
Florida,Indian River County,Gloria La Riva,PSL,33
Florida,Jackson County,Donald Trump,REP,15466
Florida,Jackson County,Joe Biden,DEM,6749
Florida,Jackson County,Jo Jorgensen,LIB,114
Florida,Jackson County, Write-ins,WRI,42
