state,county,candidate,party,votes
Mississippi,Attala County,Jo Jorgensen,LIB,0
Mississippi,Attala County,Brock Pierce,IND,0
Mississippi,Attala County,Kanye West,IND,0
Mississippi,Attala County, Write-ins,WRI,0
Mississippi,Benton County,Donald Trump,REP,2553
Mississippi,Benton County,Joe Biden,DEM,1661
Mississippi,Benton County,Jo Jorgensen,LIB,12
Mississippi,Benton County,Brian Carroll,ASP,6
Mississippi,Benton County,Kanye West,IND,6
Mississippi,Benton County,Phil Collins,PRO,5
Mississippi,Benton County,Howie Hawkins,GRN,5
Mississippi,Benton County,Don Blankenship,CST,3
Mississippi,Benton County,Brock Pierce,IND,3
Mississippi,Benton County, Write-ins,WRI,3
Mississippi,Bolivar County,Joe Biden,DEM,7203
Mississippi,Bolivar County,Donald Trump,REP,4260
Mississippi,Bolivar County,Kanye West,IND,58
Mississippi,Bolivar County,Jo Jorgensen,LIB,44
Mississippi,Bolivar County,Brian Carroll,ASP,20
Mississippi,Bolivar County,Howie Hawkins,GRN,15
Mississippi,Bolivar County, Write-ins,WRI,11
Mississippi,Bolivar County,Phil Collins,PRO,10
Mississippi,Bolivar County,Don Blankenship,CST,7
Mississippi,Bolivar County,Brock Pierce,IND,3
Mississippi,Calhoun County,Donald Trump,REP,3959
Mississippi,Calhoun County,Joe Biden,DEM,1564
Mississippi,Calhoun County,Jo Jorgensen,LIB,17
Mississippi,Calhoun County,Kanye West,IND,17
Mississippi,Calhoun County,Phil Collins,PRO,8
Mississippi,Calhoun County,Don Blankenship,CST,7
Mississippi,Calhoun County,Howie Hawkins,GRN,4
Mississippi,Calhoun County,Brock Pierce,IND,3
Mississippi,Calhoun County,Brian Carroll,ASP,2
Mississippi,Calhoun County, Write-ins,WRI,0
Mississippi,Carroll County,Donald Trump,REP,3257
Mississippi,Carroll County,Joe Biden,DEM,1203
Mississippi,Carroll County,Jo Jorgensen,LIB,12
Mississippi,Carroll County,Kanye West,IND,11
Mississippi,Carroll County,Don Blankenship,CST,8
Mississippi,Carroll County,Howie Hawkins,GRN,7
Mississippi,Carroll County, Write-ins,WRI,4
Mississippi,Carroll County,Phil Collins,PRO,3
Mississippi,Carroll County,Brian Carroll,ASP,2
Mississippi,Carroll County,Brock Pierce,IND,2
Mississippi,Chickasaw County,Donald Trump,REP,4173
Mississippi,Chickasaw County,Joe Biden,DEM,3808
Mississippi,Chickasaw County,Jo Jorgensen,LIB,74
Mississippi,Chickasaw County,Kanye West,IND,37
Mississippi,Chickasaw County,Phil Collins,PRO,14
Mississippi,Chickasaw County,Don Blankenship,CST,11
Mississippi,Chickasaw County,Howie Hawkins,GRN,9
Mississippi,Chickasaw County,Brian Carroll,ASP,8
Mississippi,Chickasaw County, Write-ins,WRI,7
Mississippi,Chickasaw County,Brock Pierce,IND,2
Mississippi,Choctaw County,Donald Trump,REP,2971
Mississippi,Choctaw County,Joe Biden,DEM,1170
Mississippi,Choctaw County,Jo Jorgensen,LIB,16
Mississippi,Choctaw County,Don Blankenship,CST,5
Mississippi,Choctaw County,Phil Collins,PRO,4
Mississippi,Choctaw County,Brian Carroll,ASP,3
Mississippi,Choctaw County,Kanye West,IND,2
Mississippi,Choctaw County, Write-ins,WRI,2
Mississippi,Choctaw County,Howie Hawkins,GRN,1
Mississippi,Choctaw County,Brock Pierce,IND,1
Mississippi,Claiborne County,Joe Biden,DEM,2337
Mississippi,Claiborne County,Donald Trump,REP,479
Mississippi,Claiborne County,Kanye West,IND,21
Mississippi,Claiborne County,Jo Jorgensen,LIB,11
Mississippi,Claiborne County,Brian Carroll,ASP,9
Mississippi,Claiborne County,Howie Hawkins,GRN,9
Mississippi,Claiborne County,Don Blankenship,CST,6
Mississippi,Claiborne County,Phil Collins,PRO,5
Mississippi,Claiborne County,Brock Pierce,IND,5
Mississippi,Claiborne County, Write-ins,WRI,4
Mississippi,Clarke County,Donald Trump,REP,4638
Mississippi,Clarke County,Joe Biden,DEM,2317
Mississippi,Clarke County,Jo Jorgensen,LIB,23
Mississippi,Clarke County,Kanye West,IND,17
Mississippi,Clarke County,Howie Hawkins,GRN,12
Mississippi,Clarke County, Write-ins,WRI,9
Mississippi,Clarke County,Don Blankenship,CST,7
Mississippi,Clarke County,Phil Collins,PRO,6
Mississippi,Clarke County,Brian Carroll,ASP,5
Mississippi,Clarke County,Brock Pierce,IND,3
Mississippi,Clay County,Joe Biden,DEM,5728
Mississippi,Clay County,Donald Trump,REP,4147
Mississippi,Clay County,Jo Jorgensen,LIB,48
Mississippi,Clay County,Kanye West,IND,33
Mississippi,Clay County,Don Blankenship,CST,27
Mississippi,Clay County,Brian Carroll,ASP,17
Mississippi,Clay County,Phil Collins,PRO,17
Mississippi,Clay County, Write-ins,WRI,17
Mississippi,Clay County,Howie Hawkins,GRN,12
Mississippi,Clay County,Brock Pierce,IND,8
Mississippi,Coahoma County,Joe Biden,DEM,5189
Mississippi,Coahoma County,Donald Trump,REP,1846
Mississippi,Coahoma County,Kanye West,IND,36
Mississippi,Coahoma County,Jo Jorgensen,LIB,16
Mississippi,Coahoma County,Howie Hawkins,GRN,14
Mississippi,Coahoma County,Brian Carroll,ASP,11
Mississippi,Coahoma County,Don Blankenship,CST,10
Mississippi,Coahoma County,Phil Collins,PRO,6
Mississippi,Coahoma County, Write-ins,WRI,6
Mississippi,Coahoma County,Brock Pierce,IND,2
Mississippi,Copiah County,Donald Trump,REP,5407
Mississippi,Copiah County,Joe Biden,DEM,5227
Mississippi,Copiah County,Jo Jorgensen,LIB,50
Mississippi,Copiah County,Kanye West,IND,40
Mississippi,Copiah County,Phil Collins,PRO,20
Mississippi,Copiah County,Don Blankenship,CST,14
Mississippi,Copiah County,Brian Carroll,ASP,14
Mississippi,Copiah County, Write-ins,WRI,14
Mississippi,Copiah County,Howie Hawkins,GRN,10
Mississippi,Copiah County,Brock Pierce,IND,4
Mississippi,Covington County,Donald Trump,REP,2864
Mississippi,Covington County,Joe Biden,DEM,1965
Mississippi,Covington County,Jo Jorgensen,LIB,21
Mississippi,Covington County,Kanye West,IND,18
Mississippi,Covington County,Don Blankenship,CST,9
Mississippi,Covington County,Brian Carroll,ASP,4
Mississippi,Covington County,Phil Collins,PRO,4
Mississippi,Covington County,Howie Hawkins,GRN,2
Mississippi,Covington County,Brock Pierce,IND,2
Mississippi,Covington County, Write-ins,WRI,2
Mississippi,DeSoto County,Donald Trump,REP,45788
Mississippi,DeSoto County,Joe Biden,DEM,27733
Mississippi,DeSoto County,Jo Jorgensen,LIB,706
Mississippi,DeSoto County,Kanye West,IND,215
Mississippi,DeSoto County, Write-ins,WRI,124
Mississippi,DeSoto County,Brock Pierce,IND,119
Mississippi,DeSoto County,Phil Collins,PRO,92
Mississippi,DeSoto County,Howie Hawkins,GRN,91
Mississippi,DeSoto County,Brian Carroll,ASP,78
Mississippi,DeSoto County,Don Blankenship,CST,67
Mississippi,Forrest County,Donald Trump,REP,15326
Mississippi,Forrest County,Joe Biden,DEM,10603
Mississippi,Forrest County,Jo Jorgensen,LIB,299
Mississippi,Forrest County,Kanye West,IND,105
Mississippi,Forrest County, Write-ins,WRI,57
Mississippi,Forrest County,Howie Hawkins,GRN,52
Mississippi,Forrest County,Brian Carroll,ASP,32
Mississippi,Forrest County,Don Blankenship,CST,27
Mississippi,Forrest County,Phil Collins,PRO,27
Mississippi,Forrest County,Brock Pierce,IND,12
Mississippi,Franklin County,Donald Trump,REP,2894
Mississippi,Franklin County,Joe Biden,DEM,1476
Mississippi,Franklin County,Jo Jorgensen,LIB,21
Mississippi,Franklin County,Kanye West,IND,14
Mississippi,Franklin County,Don Blankenship,CST,6
Mississippi,Franklin County,Brian Carroll,ASP,6
Mississippi,Franklin County,Phil Collins,PRO,4
Mississippi,Franklin County,Brock Pierce,IND,4
Mississippi,Franklin County,Howie Hawkins,GRN,3
Mississippi,Franklin County, Write-ins,WRI,3
Mississippi,George County,Donald Trump,REP,9602
Mississippi,George County,Joe Biden,DEM,1208
Mississippi,George County,Jo Jorgensen,LIB,52
Mississippi,George County,Kanye West,IND,20
Mississippi,George County, Write-ins,WRI,15
Mississippi,George County,Phil Collins,PRO,12
Mississippi,George County,Don Blankenship,CST,10
Mississippi,George County,Howie Hawkins,GRN,10
Mississippi,George County,Brian Carroll,ASP,6
Mississippi,George County,Brock Pierce,IND,5
Mississippi,Greene County,Donald Trump,REP,0
Mississippi,Greene County,Joe Biden,DEM,0
Mississippi,Greene County,Don Blankenship,CST,0
Mississippi,Greene County,Brian Carroll,ASP,0
Mississippi,Greene County,Phil Collins,PRO,0
Mississippi,Greene County,Howie Hawkins,GRN,0
Mississippi,Greene County,Jo Jorgensen,LIB,0
Mississippi,Greene County,Brock Pierce,IND,0
Mississippi,Greene County,Kanye West,IND,0
Mississippi,Greene County, Write-ins,WRI,0
Mississippi,Grenada County,Donald Trump,REP,4889
Mississippi,Grenada County,Joe Biden,DEM,2866
Mississippi,Grenada County,Jo Jorgensen,LIB,29
Mississippi,Grenada County,Kanye West,IND,15
Mississippi,Grenada County,Phil Collins,PRO,11
Mississippi,Grenada County, Write-ins,WRI,8
Mississippi,Grenada County,Howie Hawkins,GRN,7
Mississippi,Grenada County,Brian Carroll,ASP,6
Mississippi,Grenada County,Brock Pierce,IND,4
Mississippi,Grenada County,Don Blankenship,CST,3
Mississippi,Hancock County,Donald Trump,REP,13999
Mississippi,Hancock County,Joe Biden,DEM,3095
Mississippi,Hancock County,Jo Jorgensen,LIB,165
Mississippi,Hancock County,Kanye West,IND,41
Mississippi,Hancock County,Howie Hawkins,GRN,21
Mississippi,Hancock County, Write-ins,WRI,21
Mississippi,Hancock County,Brian Carroll,ASP,20
Mississippi,Hancock County,Don Blankenship,CST,18
Mississippi,Hancock County,Phil Collins,PRO,15
Mississippi,Hancock County,Brock Pierce,IND,8
Mississippi,Harrison County,Donald Trump,REP,41281
Mississippi,Harrison County,Joe Biden,DEM,18499
Mississippi,Harrison County,Jo Jorgensen,LIB,650
Mississippi,Harrison County,Kanye West,IND,160
Mississippi,Harrison County, Write-ins,WRI,97
Mississippi,Harrison County,Howie Hawkins,GRN,82
Mississippi,Harrison County,Phil Collins,PRO,63
Mississippi,Harrison County,Don Blankenship,CST,49
Mississippi,Harrison County,Brian Carroll,ASP,34
Mississippi,Harrison County,Brock Pierce,IND,26
Mississippi,Hinds County,Joe Biden,DEM,59192
Mississippi,Hinds County,Donald Trump,REP,21242
Mississippi,Hinds County,Kanye West,IND,383
Mississippi,Hinds County,Jo Jorgensen,LIB,364
Mississippi,Hinds County, Write-ins,WRI,196
Mississippi,Hinds County,Brian Carroll,ASP,108
Mississippi,Hinds County,Phil Collins,PRO,99
Mississippi,Hinds County,Howie Hawkins,GRN,97
Mississippi,Hinds County,Don Blankenship,CST,75
Mississippi,Hinds County,Brock Pierce,IND,55
Mississippi,Holmes County,Joe Biden,DEM,5182
Mississippi,Holmes County,Donald Trump,REP,1196
Mississippi,Holmes County,Kanye West,IND,44
Mississippi,Holmes County,Brian Carroll,ASP,25
Mississippi,Holmes County,Jo Jorgensen,LIB,25
Mississippi,Holmes County,Don Blankenship,CST,17
Mississippi,Holmes County,Brock Pierce,IND,14
Mississippi,Holmes County,Phil Collins,PRO,13
Mississippi,Holmes County,Howie Hawkins,GRN,13
Mississippi,Holmes County, Write-ins,WRI,13
Mississippi,Humphreys County,Joe Biden,DEM,2994
Mississippi,Humphreys County,Donald Trump,REP,1115
Mississippi,Humphreys County,Kanye West,IND,20
Mississippi,Humphreys County,Jo Jorgensen,LIB,10
Mississippi,Humphreys County,Don Blankenship,CST,7
Mississippi,Humphreys County,Brian Carroll,ASP,7
Mississippi,Humphreys County,Howie Hawkins,GRN,4
Mississippi,Humphreys County,Brock Pierce,IND,4
Mississippi,Humphreys County,Phil Collins,PRO,3
Mississippi,Humphreys County, Write-ins,WRI,0
Mississippi,Issaquena County,Joe Biden,DEM,355
Mississippi,Issaquena County,Donald Trump,REP,308
Mississippi,Issaquena County,Don Blankenship,CST,5
Mississippi,Issaquena County,Jo Jorgensen,LIB,5
Mississippi,Issaquena County,Brian Carroll,ASP,1
Mississippi,Issaquena County,Phil Collins,PRO,1
Mississippi,Issaquena County,Kanye West,IND,1
Mississippi,Issaquena County,Howie Hawkins,GRN,0
Mississippi,Issaquena County,Brock Pierce,IND,0
Mississippi,Issaquena County, Write-ins,WRI,0
Mississippi,Itawamba County,Donald Trump,REP,9374
Mississippi,Itawamba County,Joe Biden,DEM,1230
Mississippi,Itawamba County,Jo Jorgensen,LIB,79
Mississippi,Itawamba County,Howie Hawkins,GRN,15
Mississippi,Itawamba County,Kanye West,IND,15
Mississippi,Itawamba County,Phil Collins,PRO,11
Mississippi,Itawamba County,Don Blankenship,CST,7
Mississippi,Itawamba County, Write-ins,WRI,7
Mississippi,Itawamba County,Brock Pierce,IND,3
Mississippi,Itawamba County,Brian Carroll,ASP,2
Mississippi,Jackson County,Donald Trump,REP,32563
Mississippi,Jackson County,Joe Biden,DEM,12061
Mississippi,Jackson County,Jo Jorgensen,LIB,431
Mississippi,Jackson County,Kanye West,IND,108
Mississippi,Jackson County, Write-ins,WRI,80
Mississippi,Jackson County,Howie Hawkins,GRN,66
Mississippi,Jackson County,Don Blankenship,CST,59
Mississippi,Jackson County,Phil Collins,PRO,43
Mississippi,Jackson County,Brian Carroll,ASP,39
Mississippi,Jackson County,Brock Pierce,IND,36
Mississippi,Jasper County,Joe Biden,DEM,4287
Mississippi,Jasper County,Donald Trump,REP,4256
Mississippi,Jasper County,Jo Jorgensen,LIB,30
Mississippi,Jasper County,Kanye West,IND,22
Mississippi,Jasper County,Don Blankenship,CST,13
Mississippi,Jasper County,Phil Collins,PRO,10
Mississippi,Jasper County,Brian Carroll,ASP,7
Mississippi,Jasper County,Howie Hawkins,GRN,6
Mississippi,Jasper County, Write-ins,WRI,6
Mississippi,Jasper County,Brock Pierce,IND,5
Mississippi,Jefferson County,Joe Biden,DEM,3325
Mississippi,Jefferson County,Donald Trump,REP,529
Mississippi,Jefferson County,Kanye West,IND,18
Mississippi,Jefferson County,Jo Jorgensen,LIB,14
Mississippi,Jefferson County,Don Blankenship,CST,6
Mississippi,Jefferson County,Howie Hawkins,GRN,6
Mississippi,Jefferson County,Brian Carroll,ASP,4
Mississippi,Jefferson County, Write-ins,WRI,3
Mississippi,Jefferson County,Phil Collins,PRO,1
Mississippi,Jefferson County,Brock Pierce,IND,1
Mississippi,Jefferson Davis County,Joe Biden,DEM,2645
Mississippi,Jefferson Davis County,Donald Trump,REP,1927
Mississippi,Jefferson Davis County,Kanye West,IND,26
Mississippi,Jefferson Davis County,Jo Jorgensen,LIB,14
Mississippi,Jefferson Davis County,Phil Collins,PRO,10
Mississippi,Jefferson Davis County,Don Blankenship,CST,7
Mississippi,Jefferson Davis County,Brian Carroll,ASP,6
Mississippi,Jefferson Davis County, Write-ins,WRI,6
Mississippi,Jefferson Davis County,Howie Hawkins,GRN,5
Mississippi,Jefferson Davis County,Brock Pierce,IND,4
Mississippi,Jones County,Donald Trump,REP,19130
Mississippi,Jones County,Joe Biden,DEM,7017
Mississippi,Jones County,Jo Jorgensen,LIB,152
Mississippi,Jones County,Kanye West,IND,63
Mississippi,Jones County,Don Blankenship,CST,28
Mississippi,Jones County, Write-ins,WRI,27
Mississippi,Jones County,Phil Collins,PRO,24
Mississippi,Jones County,Howie Hawkins,GRN,23
Mississippi,Jones County,Brian Carroll,ASP,20
Mississippi,Jones County,Brock Pierce,IND,8
Mississippi,Kemper County,Joe Biden,DEM,2275
Mississippi,Kemper County,Donald Trump,REP,1609
Mississippi,Kemper County,Howie Hawkins,GRN,9
Mississippi,Kemper County,Kanye West,IND,9
Mississippi,Kemper County,Don Blankenship,CST,8
Mississippi,Kemper County,Jo Jorgensen,LIB,8
Mississippi,Kemper County,Brian Carroll,ASP,6
Mississippi,Kemper County,Phil Collins,PRO,6
Mississippi,Kemper County,Brock Pierce,IND,4
Mississippi,Kemper County, Write-ins,WRI,1
Mississippi,Lafayette County,Donald Trump,REP,9878
Mississippi,Lafayette County,Joe Biden,DEM,6904
Mississippi,Lafayette County,Jo Jorgensen,LIB,199
Mississippi,Lafayette County, Write-ins,WRI,58
Mississippi,Lafayette County,Kanye West,IND,42
Mississippi,Lafayette County,Howie Hawkins,GRN,33
Mississippi,Lafayette County,Brian Carroll,ASP,25
Mississippi,Lafayette County,Don Blankenship,CST,10
Mississippi,Lafayette County,Phil Collins,PRO,9
Mississippi,Lafayette County,Brock Pierce,IND,5
Mississippi,Lamar County,Donald Trump,REP,17700
Mississippi,Lamar County,Joe Biden,DEM,5821
Mississippi,Lamar County,Jo Jorgensen,LIB,232
Mississippi,Lamar County,Kanye West,IND,60
Mississippi,Lamar County, Write-ins,WRI,41
Mississippi,Lamar County,Howie Hawkins,GRN,30
Mississippi,Lamar County,Brian Carroll,ASP,26
Mississippi,Lamar County,Don Blankenship,CST,18
Mississippi,Lamar County,Phil Collins,PRO,16
Mississippi,Lamar County,Brock Pierce,IND,8
Mississippi,Lauderdale County,Donald Trump,REP,15791
Mississippi,Lauderdale County,Joe Biden,DEM,9885
Mississippi,Lauderdale County,Jo Jorgensen,LIB,134
Mississippi,Lauderdale County,Kanye West,IND,60
Mississippi,Lauderdale County,Phil Collins,PRO,22
Mississippi,Lauderdale County,Don Blankenship,CST,21
Mississippi,Lauderdale County,Howie Hawkins,GRN,18
Mississippi,Lauderdale County, Write-ins,WRI,17
Mississippi,Lauderdale County,Brian Carroll,ASP,11
Mississippi,Lauderdale County,Brock Pierce,IND,11
Mississippi,Lawrence County,Donald Trump,REP,4254
Mississippi,Lawrence County,Joe Biden,DEM,2240
Mississippi,Lawrence County,Kanye West,IND,19
Mississippi,Lawrence County,Jo Jorgensen,LIB,17
Mississippi,Lawrence County,Don Blankenship,CST,11
Mississippi,Lawrence County,Howie Hawkins,GRN,8
Mississippi,Lawrence County,Brian Carroll,ASP,5
Mississippi,Lawrence County,Phil Collins,PRO,5
Mississippi,Lawrence County, Write-ins,WRI,4
Mississippi,Lawrence County,Brock Pierce,IND,1
Mississippi,Leake County,Donald Trump,REP,4973
Mississippi,Leake County,Joe Biden,DEM,3358
Mississippi,Leake County,Kanye West,IND,23
Mississippi,Leake County,Jo Jorgensen,LIB,18
Mississippi,Leake County,Don Blankenship,CST,12
Mississippi,Leake County,Phil Collins,PRO,8
Mississippi,Leake County,Howie Hawkins,GRN,6
Mississippi,Leake County,Brian Carroll,ASP,4
Mississippi,Leake County, Write-ins,WRI,4
Mississippi,Leake County,Brock Pierce,IND,1
Mississippi,Lee County,Donald Trump,REP,21297
Mississippi,Lee County,Joe Biden,DEM,9910
Mississippi,Lee County,Jo Jorgensen,LIB,274
Mississippi,Lee County,Kanye West,IND,104
Mississippi,Lee County, Write-ins,WRI,49
Mississippi,Lee County,Howie Hawkins,GRN,38
Mississippi,Lee County,Phil Collins,PRO,29
Mississippi,Lee County,Don Blankenship,CST,26
Mississippi,Lee County,Brian Carroll,ASP,24
Mississippi,Lee County,Brock Pierce,IND,11
Mississippi,Leflore County,Joe Biden,DEM,5444
Mississippi,Leflore County,Donald Trump,REP,2623
Mississippi,Leflore County,Kanye West,IND,32
Mississippi,Leflore County,Jo Jorgensen,LIB,28
Mississippi,Leflore County,Don Blankenship,CST,13
Mississippi,Leflore County,Howie Hawkins,GRN,9
Mississippi,Leflore County, Write-ins,WRI,9
Mississippi,Leflore County,Brian Carroll,ASP,8
Mississippi,Leflore County,Phil Collins,PRO,7
Mississippi,Leflore County,Brock Pierce,IND,5
Mississippi,Lincoln County,Donald Trump,REP,10107
Mississippi,Lincoln County,Joe Biden,DEM,3978
Mississippi,Lincoln County,Jo Jorgensen,LIB,54
Mississippi,Lincoln County,Kanye West,IND,30
Mississippi,Lincoln County,Howie Hawkins,GRN,18
Mississippi,Lincoln County, Write-ins,WRI,17
Mississippi,Lincoln County,Don Blankenship,CST,14
Mississippi,Lincoln County,Brian Carroll,ASP,12
Mississippi,Lincoln County,Phil Collins,PRO,11
Mississippi,Lincoln County,Brock Pierce,IND,6
Mississippi,Lowndes County,Donald Trump,REP,13699
Mississippi,Lowndes County,Joe Biden,DEM,12913
Mississippi,Lowndes County,Jo Jorgensen,LIB,179
Mississippi,Lowndes County,Kanye West,IND,71
Mississippi,Lowndes County, Write-ins,WRI,33
Mississippi,Lowndes County,Howie Hawkins,GRN,32
Mississippi,Lowndes County,Don Blankenship,CST,20
Mississippi,Lowndes County,Brian Carroll,ASP,19
Mississippi,Lowndes County,Phil Collins,PRO,19
Mississippi,Lowndes County,Brock Pierce,IND,8
Mississippi,Madison County,Donald Trump,REP,26188
Mississippi,Madison County,Joe Biden,DEM,18931
Mississippi,Madison County,Jo Jorgensen,LIB,293
Mississippi,Madison County,Kanye West,IND,128
Mississippi,Madison County, Write-ins,WRI,123
Mississippi,Madison County,Phil Collins,PRO,48
Mississippi,Madison County,Brian Carroll,ASP,39
Mississippi,Madison County,Howie Hawkins,GRN,35
Mississippi,Madison County,Don Blankenship,CST,33
Mississippi,Madison County,Brock Pierce,IND,14
Mississippi,Marion County,Donald Trump,REP,7783
Mississippi,Marion County,Joe Biden,DEM,3421
Mississippi,Marion County,Jo Jorgensen,LIB,44
Mississippi,Marion County,Kanye West,IND,29
Mississippi,Marion County, Write-ins,WRI,17
Mississippi,Marion County,Don Blankenship,CST,12
Mississippi,Marion County,Phil Collins,PRO,11
Mississippi,Marion County,Howie Hawkins,GRN,11
Mississippi,Marion County,Brian Carroll,ASP,5
Mississippi,Marion County,Brock Pierce,IND,5
Mississippi,Marshall County,Donald Trump,REP,6591
Mississippi,Marshall County,Joe Biden,DEM,6283
Mississippi,Marshall County,Kanye West,IND,47
Mississippi,Marshall County,Jo Jorgensen,LIB,46
Mississippi,Marshall County,Howie Hawkins,GRN,24
Mississippi,Marshall County,Don Blankenship,CST,21
Mississippi,Marshall County,Phil Collins,PRO,18
Mississippi,Marshall County, Write-ins,WRI,13
Mississippi,Marshall County,Brian Carroll,ASP,11
Mississippi,Marshall County,Brock Pierce,IND,10
Mississippi,Monroe County,Donald Trump,REP,9677
Mississippi,Monroe County,Joe Biden,DEM,4565
Mississippi,Monroe County,Jo Jorgensen,LIB,88
Mississippi,Monroe County,Kanye West,IND,39
Mississippi,Monroe County,Don Blankenship,CST,20
Mississippi,Monroe County,Phil Collins,PRO,20
Mississippi,Monroe County, Write-ins,WRI,20
Mississippi,Monroe County,Howie Hawkins,GRN,17
Mississippi,Monroe County,Brian Carroll,ASP,11
Mississippi,Monroe County,Brock Pierce,IND,4
Mississippi,Montgomery County,Donald Trump,REP,2866
Mississippi,Montgomery County,Joe Biden,DEM,2084
Mississippi,Montgomery County,Kanye West,IND,11
Mississippi,Montgomery County,Don Blankenship,CST,5
Mississippi,Montgomery County, Write-ins,WRI,3
Mississippi,Montgomery County,Howie Hawkins,GRN,1
Mississippi,Montgomery County,Jo Jorgensen,LIB,1
Mississippi,Montgomery County,Brock Pierce,IND,1
Mississippi,Montgomery County,Brian Carroll,ASP,0
Mississippi,Montgomery County,Phil Collins,PRO,0
Mississippi,Neshoba County,Donald Trump,REP,8311
Mississippi,Neshoba County,Joe Biden,DEM,3247
Mississippi,Neshoba County,Jo Jorgensen,LIB,46
Mississippi,Neshoba County,Kanye West,IND,34
Mississippi,Neshoba County, Write-ins,WRI,17
Mississippi,Neshoba County,Don Blankenship,CST,15
Mississippi,Neshoba County,Phil Collins,PRO,12
Mississippi,Neshoba County,Brian Carroll,ASP,8
Mississippi,Neshoba County,Howie Hawkins,GRN,6
Mississippi,Neshoba County,Brock Pierce,IND,2
Mississippi,Newton County,Donald Trump,REP,6037
Mississippi,Newton County,Joe Biden,DEM,2542
Mississippi,Newton County,Jo Jorgensen,LIB,42
Mississippi,Newton County,Kanye West,IND,24
Mississippi,Newton County,Phil Collins,PRO,7
Mississippi,Newton County,Howie Hawkins,GRN,7
Mississippi,Newton County, Write-ins,WRI,6
Mississippi,Newton County,Brock Pierce,IND,5
Mississippi,Newton County,Don Blankenship,CST,4
Mississippi,Newton County,Brian Carroll,ASP,4
Mississippi,Noxubee County,Joe Biden,DEM,2867
Mississippi,Noxubee County,Donald Trump,REP,1057
Mississippi,Noxubee County,Jo Jorgensen,LIB,13
Mississippi,Noxubee County,Kanye West,IND,11
Mississippi,Noxubee County,Don Blankenship,CST,10
Mississippi,Noxubee County,Phil Collins,PRO,6
Mississippi,Noxubee County,Howie Hawkins,GRN,6
Mississippi,Noxubee County,Brian Carroll,ASP,5
Mississippi,Noxubee County,Brock Pierce,IND,4
Mississippi,Noxubee County, Write-ins,WRI,2
Mississippi,Oktibbeha County,Donald Trump,REP,0
Mississippi,Oktibbeha County,Joe Biden,DEM,0
Mississippi,Oktibbeha County,Don Blankenship,CST,0
Mississippi,Oktibbeha County,Brian Carroll,ASP,0
Mississippi,Oktibbeha County,Phil Collins,PRO,0
Mississippi,Oktibbeha County,Howie Hawkins,GRN,0
Mississippi,Oktibbeha County,Jo Jorgensen,LIB,0
Mississippi,Oktibbeha County,Brock Pierce,IND,0
Mississippi,Oktibbeha County,Kanye West,IND,0
Mississippi,Oktibbeha County, Write-ins,WRI,0
Mississippi,Panola County,Donald Trump,REP,5738
Mississippi,Panola County,Joe Biden,DEM,4978
Mississippi,Panola County,Kanye West,IND,40
Mississippi,Panola County,Jo Jorgensen,LIB,37
Mississippi,Panola County,Phil Collins,PRO,15
Mississippi,Panola County,Don Blankenship,CST,11
Mississippi,Panola County,Brock Pierce,IND,8
Mississippi,Panola County,Brian Carroll,ASP,7
Mississippi,Panola County, Write-ins,WRI,5
Mississippi,Panola County,Howie Hawkins,GRN,4
Mississippi,Pearl River County,Donald Trump,REP,0
Mississippi,Pearl River County,Joe Biden,DEM,0
Mississippi,Pearl River County,Don Blankenship,CST,0
Mississippi,Pearl River County,Brian Carroll,ASP,0
Mississippi,Pearl River County,Phil Collins,PRO,0
Mississippi,Pearl River County,Howie Hawkins,GRN,0
Mississippi,Pearl River County,Jo Jorgensen,LIB,0
Mississippi,Pearl River County,Brock Pierce,IND,0
Mississippi,Pearl River County,Kanye West,IND,0
Mississippi,Pearl River County, Write-ins,WRI,0
Mississippi,Perry County,Donald Trump,REP,4426
Mississippi,Perry County,Joe Biden,DEM,1340
Mississippi,Perry County,Jo Jorgensen,LIB,20
Mississippi,Perry County,Kanye West,IND,9
Mississippi,Perry County,Howie Hawkins,GRN,7
Mississippi,Perry County,Don Blankenship,CST,6
Mississippi,Perry County, Write-ins,WRI,6
Mississippi,Perry County,Phil Collins,PRO,4
Mississippi,Perry County,Brock Pierce,IND,4
Mississippi,Perry County,Brian Carroll,ASP,3
Mississippi,Pike County,Joe Biden,DEM,7087
Mississippi,Pike County,Donald Trump,REP,6881
Mississippi,Pike County,Jo Jorgensen,LIB,72
Mississippi,Pike County,Kanye West,IND,38
Mississippi,Pike County,Don Blankenship,CST,20
Mississippi,Pike County,Phil Collins,PRO,20
Mississippi,Pike County,Howie Hawkins,GRN,18
Mississippi,Pike County, Write-ins,WRI,18
Mississippi,Pike County,Brian Carroll,ASP,16
Mississippi,Pike County,Brock Pierce,IND,3
Mississippi,Pontotoc County,Donald Trump,REP,11425
Mississippi,Pontotoc County,Joe Biden,DEM,2580
Mississippi,Pontotoc County,Jo Jorgensen,LIB,102
Mississippi,Pontotoc County,Kanye West,IND,29
Mississippi,Pontotoc County,Howie Hawkins,GRN,17
Mississippi,Pontotoc County,Don Blankenship,CST,16
Mississippi,Pontotoc County,Phil Collins,PRO,16
Mississippi,Pontotoc County, Write-ins,WRI,16
Mississippi,Pontotoc County,Brian Carroll,ASP,10
Mississippi,Pontotoc County,Brock Pierce,IND,4
Mississippi,Prentiss County,Donald Trump,REP,8274
