Datum,PM10,kraj
2014-01-19,33.2,Celje
2014-01-20,28.7,Celje
2014-01-21,60.7,Celje
2014-01-22,55.9,Celje
2014-01-23,42.7,Celje
2014-01-24,17.3,Celje
2014-01-25,30.2,Celje
2014-01-26,49.8,Celje
2014-01-27,70.5,Celje
2014-01-28,71.5,Celje
2014-01-29,64.9,Celje
2014-01-30,85.8,Celje
2014-01-31,44.9,Celje
2014-02-01,42.6,Celje
2014-02-02,16.4,Celje
2014-02-03,28.1,Celje
2014-02-04,50.4,Celje
2014-02-05,77.5,Celje
2014-02-06,76.6,Celje
2014-02-07,10.6,Celje
2014-02-08,12.8,Celje
2014-02-09,18.4,Celje
2014-02-10,34.8,Celje
2014-02-11,28.6,Celje
2014-02-12,29,Celje
2014-02-13,15.5,Celje
2014-02-14,32,Celje
2014-02-15,27.6,Celje
2014-02-16,18.3,Celje
2014-02-17,29,Celje
2014-02-18,42.6,Celje
2014-02-19,48.8,Celje
2014-02-20,18.6,Celje
2014-02-21,40.5,Celje
2014-02-22,32.9,Celje
2014-02-23,24.9,Celje
2014-02-24,31.7,Celje
2014-02-25,53.8,Celje
2014-02-26,41.6,Celje
2014-02-27,27.9,Celje
2014-02-28,29.5,Celje
2014-03-01,42.5,Celje
2014-03-02,43.1,Celje
2014-03-03,44.5,Celje
2014-03-04,34.4,Celje
2014-03-05,33.3,Celje
2014-03-06,30.5,Celje
2014-03-07,46.7,Celje
2014-03-08,53.2,Celje
2014-03-09,52.5,Celje
2014-03-10,46.9,Celje
2014-03-11,60.1,Celje
2014-03-12,67.7,Celje
2014-03-13,79,Celje
2014-03-14,77.5,Celje
2014-03-15,66.9,Celje
2014-03-16,41.8,Celje
2014-03-17,46.6,Celje
2014-03-18,44.9,Celje
2014-03-19,34.1,Celje
2014-03-20,39,Celje
2014-03-21,41.5,Celje
2014-03-22,22,Celje
2014-03-23,9.2,Celje
2014-03-24,11,Celje
2014-03-25,17.8,Celje
2014-03-26,28,Celje
2014-03-27,34.4,Celje
2014-03-28,30.4,Celje
2014-03-29,36.4,Celje
2014-03-30,44.7,Celje
2014-03-31,65.9,Celje
2014-04-01,62.5,Celje
2014-04-02,46.8,Celje
2014-04-03,47.1,Celje
2014-04-04,50.7,Celje
2014-04-05,44.5,Celje
2014-04-06,25.8,Celje
2014-04-07,25.5,Celje
2014-04-08,31.8,Celje
2014-04-09,8.5,Celje
2014-04-10,22.4,Celje
2014-04-11,14.7,Celje
2014-04-12,23.5,Celje
2014-04-13,17.4,Celje
2014-04-14,24.9,Celje
2014-04-15,6,Celje
2014-04-16,17.8,Celje
2014-04-17,20.6,Celje
2014-04-18,23.6,Celje
2014-04-19,30.1,Celje
2014-04-20,11.8,Celje
2014-04-21,16.2,Celje
2014-04-22,12.2,Celje
2014-04-23,21.9,Celje
2014-04-24,24.4,Celje
2014-04-25,19.9,Celje
2014-04-26,24.9,Celje
2014-04-27,25.9,Celje
2014-04-28,22.6,Celje
2014-04-29,18.8,Celje
2014-04-30,22.7,Celje
2014-05-01,27.4,Celje
2014-05-02,17.1,Celje
2014-05-03,15.4,Celje
2014-05-04,10.7,Celje
2014-05-05,26.7,Celje
2014-05-06,24.6,Celje
2014-05-07,28.8,Celje
2014-05-08,11.6,Celje
2014-05-09,24.2,Celje
2014-05-10,25.7,Celje
2014-05-11,15.1,Celje
2014-05-12,10.2,Celje
2014-05-13,10.8,Celje
2014-05-14,13.2,Celje
2014-05-15,14.2,Celje
2014-05-16,10.3,Celje
2014-05-17,12,Celje
2014-05-18,14,Celje
2014-05-19,21.2,Celje
2014-05-20,25.4,Celje
2014-05-21,36.7,Celje
2014-05-22,37.9,Celje
2014-05-23,47.9,Celje
2014-05-24,51.1,Celje
2014-05-25,23.9,Celje
2014-05-26,23.5,Celje
